,id,recipeName,cook_time_minutes,prep_time_minutes,total_time_minutes,num_servings,tag_list,ingredient_list,cleanedIngredientList
0,8582.0,Mini Gingerbread Cheesecake Bites,,,30.0,24.0,"['bakery_goods', 'under_1_hour', '5_ingredients_or_less', 'christmas', 'desserts', 'winter', 'casual_party', 'indulgent_sweets', 'under_30_minutes', 'under_45_minutes']","['nonstick cooking spray', 'pre-made gingerbread cookie dough', 'softened cream cheese', 'sour cream', 'vanilla extract', 'powdered sugar', 'whipped cream', 'holiday sprinkles']","['nonstick cooking spray', 'pre-made gingerbread cookie dough', 'softened cream cheese', 'sour cream', 'vanilla extract', 'powdered sugar', 'whipped cream', 'holiday sprinkles']"
1,8579.0,Cranberry Sage Butter,,,55.0,3.0,"['easy', '5_ingredients_or_less', 'under_1_hour', 'christmas', 'big_batch', 'vegetarian']","['unsalted butter', 'chunky cranberry sauce', 'fresh sage leaves', 'kosher salt']","['unsalted butter', 'chunky cranberry sauce', 'fresh sage leaves', 'kosher salt']"
2,8580.0,Rosemary Shortbread With Pink Peppercorn Glaze,35.0,5.0,130.0,18.0,"['desserts', 'bakery_goods', 'bake', 'christmas', 'winter', 'casual_party', 'indulgent_sweets']","['nonstick cooking spray', 'all-purpose flour', 'granulated sugar', 'finely chopped fresh rosemary', 'kosher salt', 'orange zest', 'unsalted butter']","['nonstick cooking spray', 'all-purpose flour', 'granulated sugar', 'finely chopped fresh rosemary', 'kosher salt', 'orange zest', 'unsalted butter']"
3,8575.0,Chipotle Apricot Cream Cheese Bites,0.0,15.0,15.0,14.0,"['under_15_minutes', 'easy', 'appetizers', 'snacks', 'vegetarian', 'thanksgiving', 'christmas', 'casual_party', 'happy_hour', 'under_30_minutes', 'under_45_minutes', 'under_1_hour']","['round butter crackers', 'cream cheese', 'pecan pieces', 'apricot jam', 'chipotle peppers in adobo', 'fresh rosemary']","['round butter crackers', 'cream cheese', 'pecan pieces', 'apricot jam', 'chipotle peppers in adobo', 'fresh rosemary']"
4,8570.0,Classic Fruit Cake,180.0,30.0,210.0,6.0,"['bakery_goods', 'desserts', 'oven', 'bake', 'measuring_spoons', 'dry_measuring_cups', 'winter', 'christmas', 'mixing_bowl', 'contains_alcohol', 'special_occasion', 'indulgent_sweets', 'homemade_holiday']","['neutral oil', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'ground cinnamon', 'ground nutmeg', 'ground mace', 'ground cloves', 'unsalted butter', 'brown sugar', 'large egg', 'molasses', 'orange', 'orange', 'lemon', 'lemon', 'brandy', 'diced candied fruit', 'coarsely chopped walnuts', 'coarsely chopped pecans', 'chopped dates', 'dried currant', 'golden raisin']","['neutral oil', 'all-purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'ground cinnamon', 'ground nutmeg', 'ground mace', 'ground cloves', 'unsalted butter', 'brown sugar', 'large egg', 'molasses', 'orange', 'orange', 'lemon', 'lemon', 'brandy', 'diced candied fruit', 'coarsely chopped walnuts', 'coarsely chopped pecans', 'chopped dates', 'dried currant', 'golden raisin']"
5,8558.0,Mini Garlic Pretzel Cheese Balls,3.0,1800.0,63.0,38.0,"['snacks', 'casual_party', 'vegetarian', 'appetizers', 'christmas', 'special_occasion']","['unsalted butter', 'scallions', 'large garlic', 'cream cheese', 'shredded white cheddar', 'cayenne', 'worcestershire sauce', 'kosher salt', 'freshly ground black pepper', 'Snyder’s of Hanover® Pretzel Snaps', 'Chopped fresh parsley', 'pomegranate seeds']","['unsalted butter', 'scallions', 'large garlic', 'cream cheese', 'shredded white cheddar', 'cayenne', 'worcestershire sauce', 'kosher salt', 'freshly ground black pepper', 'snyder’s of hanover® pretzel snaps', 'chopped fresh parsley', 'pomegranate seeds']"
6,8559.0,Pretzel Peppermint Truffle Pops,10.0,20.0,110.0,9.0,"['desserts', 'indulgent_sweets', 'special_occasion', 'christmas', 'no_bake_desserts']","['good-quality dark chocolate,', 'heavy cream', 'vanilla extract', 'Snyder’s of Hanover® Pretzel Rounds', 'Snyder’s of Hanover® Pretzel Sticks', 'peppermint candy']","['good-quality dark chocolate,', 'heavy cream', 'vanilla extract', 'snyder’s of hanover® pretzel rounds', 'snyder’s of hanover® pretzel sticks', 'peppermint candy']"
7,8559.0,Pretzel Peppermint Truffle Pops,10.0,20.0,110.0,9.0,"['desserts', 'indulgent_sweets', 'special_occasion', 'christmas', 'no_bake_desserts']","['good-quality dark chocolate,', 'heavy cream', 'vanilla extract', 'Snyder’s of Hanover® Pretzel Rounds', 'Snyder’s of Hanover® Pretzel Sticks', 'peppermint candy']","['good-quality dark chocolate,', 'heavy cream', 'vanilla extract', 'snyder’s of hanover® pretzel rounds', 'snyder’s of hanover® pretzel sticks', 'peppermint candy']"
8,8527.0,Brie And Walnut Bites,10.0,10.0,20.0,24.0,"['under_30_minutes', 'christmas', 'appetizers', 'under_45_minutes', 'under_1_hour', 'vegetarian']","['salted butter', 'phyllo dough', 'brie cheese', 'Fisher® Walnut Halves and Pieces', 'asian pear', 'honey', 'fresh thyme leaves', 'pomegranate seeds']","['salted butter', 'phyllo dough', 'brie cheese', 'fisher® walnut halves and pieces', 'asian pear', 'honey', 'fresh thyme leaves', 'pomegranate seeds']"
9,8528.0,Creamy Pecan-Stuffed Mushrooms,15.0,10.0,25.0,4.0,"['appetizers', 'under_30_minutes', 'christmas', 'under_45_minutes', 'under_1_hour', 'vegetarian', 'thanksgiving', 'bake', 'oven', 'casual_party', 'special_occasion']","['cremini mushrooms', 'olive oil', 'kosher salt', 'unsalted butter', 'small garlic clove', 'Fisher® Chopped Pecans', 'onion powder', 'freshly ground black pepper', 'soy sauce', 'cream cheese', 'finely grated parmesan cheese', 'fresh thyme leaves', 'panko bread crumbs']","['cremini mushrooms', 'olive oil', 'kosher salt', 'unsalted butter', 'small garlic', 'fisher® chopped pecans', 'onion powder', 'freshly ground black pepper', 'soy sauce', 'cream cheese', 'finely grated parmesan cheese', 'fresh thyme leaves', 'panko bread crumbs']"
10,8552.0,Holiday Hash Brown Waffles,,,,8.0,"['breakfast', 'special_occasion', 'fall', 'american', 'thanksgiving', 'christmas', 'brunch', 'winter', 'comfort_food']","['nonstick cooking spray', 'Ore-Ida™ Shredded Hash Brown Potatoes', 'large egg', 'all-purpose flour', 'kosher salt', 'baking soda', 'unsalted butter', 'shredded sharp white cheddar cheese', 'breakfast sausage', 'fresh chives']","['nonstick cooking spray', 'ore-ida™ shredded hash brown potatoes', 'large egg', 'all-purpose flour', 'kosher salt', 'baking soda', 'unsalted butter', 'shredded sharp white cheddar cheese', 'breakfast sausage', 'fresh chives']"
11,8551.0,Gingerbread Linzer Cookies,,,,15.0,"['desserts', 'special_occasion', 'oven', 'bakery_goods', 'christmas', 'bake', 'winter']","['unsalted butter', 'dark brown sugar', 'molasses', 'large egg yolk', 'McCormick® vanilla extract', 'all-purpose flour', 'kosher salt', 'baking soda', 'McCormick® Ground Cinnamon', 'McCormick® ground ginger', 'McCormick® Ground Nutmeg', 'McCormick® Ground Cloves', 'McCormick® ground allspice', 'powdered sugar']","['unsalted butter', 'dark brown sugar', 'molasses', 'large egg yolk', 'mccormick® vanilla extract', 'all-purpose flour', 'kosher salt', 'baking soda', 'mccormick® ground cinnamon', 'mccormick® ground ginger', 'mccormick® ground nutmeg', 'mccormick® ground cloves', 'mccormick® ground allspice', 'powdered sugar']"
12,8545.0,Ricotta And Cranberry Pretzel Snaps Stackers,15.0,10.0,,12.0,"['appetizers', 'fall', 'bbq', 'casual_party', 'under_30_minutes', 'snacks', 'thanksgiving', 'christmas', 'american', 'stove_top', 'winter', 'under_45_minutes', 'under_1_hour', 'vegetarian']","['fresh cranberries', 'orange juice', 'sugar', 'orange peel', 'whole cinnamon stick']","['fresh cranberries', 'orange juice', 'sugar', 'orange peel', 'whole cinnamon stick']"
13,8543.0,Chef Joe Sasto's Candy Cane-Striped Pasta,,,,4.0,"['dinner', 'italian', 'christmas', 'valentines_day', 'stove_top', 'winter', 'vegetarian']","['flour', 'large egg', 'large egg yolk', 'kosher salt', 'freeze-dried beet powder']","['flour', 'large egg', 'large egg yolk', 'kosher salt', 'freeze-dried beet powder']"
